ID,text,label
1,Loudoun County Virginia has become an embarrassment and the idiots on the school board should be places in stocks in the public square where they can be cursed and spat upon. Then they should be flogged and sent away to bed with no dinner.,1
2,"""The removal case against Beth Barts will test those in positions of power in Loudoun County. Will winks and nods from activist prosecutors result in her being able to escape accountability and continue to destroy the community’s trust in their schools and their school board?""",1
3,"Wrote the members of the Loudoun County, Virginia, School Board to express my disappointment in shutting down free speech. Encouraging those who care about this Country to do the same.",0
4,Virginia mom who survived Maoist China eviscerates school board's Critical Race Theory push!  FoxNews,0
5," It's literally part of the Democratic process to initiate a recall effort. In fact, majority Dems support recall and in fact passed legislation in support of it. Loudoun ",1
6,VIDEO - Loudoun County Dad of 3 Young Girls to School Board: How Can I Trust You ‘to Keep My Daughters Safe?’ ,0
7,"   ""A parent who was arrested during a June school board meeting in Loudoun County, VA, is accusing the district of trying to cover up an alleged bathroom sexual assault by a gender-fluid individual against his daughter in order to further its transgender rights agenda."" tucker",0
8, Thank you and the school board for representing and advocating for all of our students in Loudoun County.,0
9,Youngkin calls for investigation of school board for alleged coverup of transgender sexual assault | Just The News ,1
10," ""It is painful to see Loudoun in the news like this ... The reality is, these are conversations that are happening in school districts across the country.""

Supervisor Letourneau on the contentious debates at school board meetings

",0
11,"Associate professor  of  spoke to  the influence of a school district's commitment to diversity, equity and inclusion on Virginia’s gubernatorial race. 🏫 ☑️ ",0
12,Seems like crass language is more offensive to progressives than actual physical abuse. The Loudoun County school board debacle is another example. ,0
13,"""School board, I quit. I quit your policies. I quit your training, and I quit being a cog in a machine that tells me to push highly politicized agendas on our most vulnerable constituents – children.""
",0
14,   Exactly 0 recalls for school board members have been dismissed in Loudoun County. Zero.,1
15,  Loudoun is a rich county. They are educated. Theyre being told that the school board has more power over teaching kids about sexuality (NOT SEX EDU like diseases &amp; condoms) than they do. These pics arent just about CRT. Ar some point Christians have rights. They fund the school.,0
16,Unruly Crowd Interrupts Loudoun County School Board Meeting on Transgender Policy - NBC4 Washington: Unruly Crowd Interrupts Loudoun County School Board Meeting on Transgender Policy  NBC4 Washington ,0
17, Why won't you condemn the Loudoun County School board which covered up rape? Where is your statement?,1
18, Two children in the past few months have been raped in a bathroom in Loudoun county schools. The school board covered this up and did nothing to protect these children,0
19,"   Goofus, they tweet heavily about the RICO violations of Loudoun parents and School Board. So that makes us concerned.",0
20,Loudoun County School Board thanks Senate for rejecting amendment to move up election | News ,1
21,We went to the Loudoun County school board meeting earlier this week to see what parents and students had to say. ,0
22,"""All the chaos in Loudoun County...The fact that you have wealthy, educated, suburban people who presumably hate Trump showing up at school board meetings—this is news and it may end up producing an upset in Virginia."" —  

",0
23," When Youngkin wins, will we see any resignations from the LCPS school board before he takes any action against them?",1
