"","num","text"
"118086",118086,"I HAVE GREAT NEWS!

Loudoun County School Board Member, Beth Barts, is resigning.

Barts was part of a Facebook group that encouraged teachers to post the personal info. of parents who oppose Critical Race Theory.

Thank you to every parent who gathered signatures for her recall."
"107970",107970,"Youngkin calls for investigation into Loudoun County School Board amid sexual assault allegations  "
"33992",33992,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"170215",170215,"Anti-critical race theory org taking aim at Loudoun County School Board in half million dollar ad buy  FoxNews"
"53704",53704,"A Loudoun County, Virginia, teacher abruptly quit her job during a school board meeting after she railed against the teaching of critical race theory in public school classrooms
"
"55638",55638,"Loudoun school board agrees to reverse suspension of teacher who spoke out against transgender policy
"
"197579",197579,"Two arrests made at the Loudoun County, Virginia school board meeting after it was declared an unlawful assembly and some parents here to protest against critical race theory and a transgender policy refused to leave right away CriticalRaceTheory "
"53280",53280,"Loudoun County schools charge mom $36,000 to respond to open records request on ‘sexual assault,’ ‘rape’


BS by school board to cover their ass?"
"132180",132180," Fire . 

"
"61075",61075,"If you are actually interested in the truth, unlike Philip, this is the true story of how the CRT controversy started in Loudoun. This article got the author, , put on the school board's infamous Facebook enemies list.
 "
"106788",106788,"Here we go: Loudoun County School Board member resigns following Luke Rosiak's explosive investigation into sexual assault coverup scandal "
"190196",190196,"The scene tonight at a raucous Loudoun County school board hearing where many came to voice opposition to critical race theory. The meeting was stopped when the crowd wouldn’t quiet down and two were arrested. "
"70464",70464,"Unbelievable. In August,  Supt Ziegler demanded: 
🚔 5-person “Quick Reaction Force”
🚨Undercover deputies
and more against parents. 

What a scoop by  , documenting FOIA results from  .
 
Read:  "
"12126",12126,"Youngkin’s Day 1 Executive Orders, per his office, include:

- Ban CRT

- parents decide if kids wear masks in school 

- declare VA open for business 

- end vax mandate for state employees 

- investigate Loudoun County

- fire parole board 

- leave green house gas initiative"
"20496",20496,"BREAKING: A Loudoun County Circuit Judge has ruled in favor of parents, enjoining the school board’s mandatory mask policy citing “irreparable harm” to students. The judge also ruled that LCPS must allow parents to opt their kids out of mask mandates IMMEDIATELY."
"158917",158917,"Smith was arrested and charged with disorderly conduct. He was outraged after school board staff said they'd never had a report of assault in a bathroom; his daughter had been raped by a boy 'wearing a skirt' in the girls' bathroom weeks earlier.
TeamTERF
"
"66955",66955," This is not the first time this BOY forced himself upon a girl. Loudoun County school board moved him from another school where he raped girl in the bathroom and tried to cover it up just like your trying to do but go ahead and keep living in your dystopia."
"60067",60067," Seriously, did you even do a basic background check in these women?

Kay Greenway, for example, was already protesting against school closure in September 2020.

Yes, you read right, 2020!!

"
"134037",134037,"NEW: Ahead of the upcoming Loudoun County school board meeting, Free to Learn has a new ad campaign calling out administrators for putting politics ahead of students..
 
And trying to silence parents. "
"116722",116722,"Loudoun County School Board Member Resigns Following Daily Wire Investigation "
"207021",207021,"Two arrests made at the Loudoun County, Virginia school board meeting after it was declared an unlawful assembly and some parents here to protest against critical race theory and a transgender policy refused to leave right away CriticalRaceTheory "
"130543",130543,"The Loudoun County School Board covered up a child rape bc it wasn't politically correct 

Then he raped another victim at his next school

Arrest them all"
"31749",31749,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"177038",177038,"This teacher is a real life profile in courage. Our country desperately needs more people with her bravery to stand up to the woke mob.

The pro-CRT Loudoun County School Board on the other hand is an absolute disgrace!!!

"
"17298",17298,"Multiple sources have confirmed that a special grand jury has been convened re: the investigation into the Loudoun County School Board's handling of multiple sexual assaults in LCPS high schools loudoun lcps"
"111328",111328,"The rats are abandoning ship in Virginia.
"
"28975",28975,"Parents and residents of Loudoun County speaking at tonight’s school board meeting are carrying signs featuring Superintendent Scott Ziegler’s email indicating he was aware of a sexual assault in a school bathroom, contrary to his statements in past meetings "
"160037",160037,"This…is…horrific.

Why does the Biden DOJ label the father of a teen girl sexually assaulted at school a “domestic terrorist”? "
"153232",153232,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"107857",107857,"The Loudoun County School Board covered up a child rape bc it wasn't politically correct 

Then he raped another victim at his next school

Arrest them all"
"104794",104794,"Glenn Youngkin: ""I am calling for an immediate investigation into the Loudoun County School Board for their gross negligence."""
"114472",114472,"I HAVE GREAT NEWS!

Loudoun County School Board Member, Beth Barts, is resigning.

Barts was part of a Facebook group that encouraged teachers to post the personal info. of parents who oppose Critical Race Theory.

Thank you to every parent who gathered signatures for her recall."
"19293",19293,"The Loudoun County school board in Virginia, the state where Obama is campaigning, covered up the rape of two female students because the suspect identifies as “gender fluid.” The parents are rightly outraged. Obama dismisses this outrage  as “phony.” "
"130346",130346,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"178815",178815,"I am now officially collecting signatures for the recall of school board members in Loudoun County. And it feels glorious."
"79443",79443,"Loudoun dad calmly told the school board to resign tonight and “end the mockery you have brought on this great county” "
"92486",92486,"Today I called for an immediate investigation into the Loudoun County School Board for endangering our students and violating the Virginia Constitution. When I’m governor, we’re going to take immediate action in regards to our kids’ safety. Our kids cannot wait. "
"76257",76257,"Loudoun dad calmly told the school board to resign tonight and “end the mockery you have brought on this great county” "
"91210",91210,"Virginia dad arrested at school board meeting: Daughter was raped in bathroom by boy in skirt | Just The News "
"1155",1155," and the Loudoun Syndicate are at it again.  The OPENLY brag about phone bank support to get the ""right"" judge to preside over the LCPS SB recall case.  This case, that was dismissed became political at the hands of Wexton's crew.
 "
"23127",23127,"Loudoun County (VA) Parents FIGHTING back against WOKE School Board. 

 &amp;  on  "
"187881",187881,"Two arrests made at the Loudoun County, Virginia school board meeting after it was declared an unlawful assembly and some parents here to protest against critical race theory and a transgender policy refused to leave right away CriticalRaceTheory "
"64004",64004,"I want to thank the Loudoun County school board. None of this would have been possible without you. Tonight’s result was your handiwork. Congratulations!"
"179012",179012,"Loudoun County School Board Meeting Erupts Into Chaos; Former Senator Speaks Out And Arrests Are Made    

"
"139221",139221,"Do you know what wasn't covered by ABC, CBS, and NBC tonight? The Loudoun County School Board allegedly covering up the rape of a 14-year-old girl to pass a transgender bathroom policy: "
"134657",134657,"Winning: Matt Walsh Trolls Woke Loudoun County School Board—and It's a Sight to Behold – PJ Media "
"112790",112790,"Parents demand resignation of Loudoun County superintendent after rape revelations | Daily Mail Online "
"107787",107787,"BURKE, Va. — Glenn Youngkin calls for an “immediate investigation of the Loudoun County School Board for gross negligence” over covering up two cases of juvenile sexual assault. 

Name checks AG Mark Herring for attack to cheers of “do your job!”"
"47006",47006,"Loudoun County parents demand superintendent, school board resign after alleged sexual assault email
"
"90164",90164,"BREAKING - Loudoun Co School Board member Beth Barts has just resigned from the board, effective Nov 2nd. Barts has been the subject of intense scrutiny and controversy and was in the midst of an attempted recall by multiple parent groups.

Her statement: "
"147811",147811,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"56130",56130,"Loudoun dad, “we are the protectors of our children and we outright refuse to coparent with you… I am aggressively calling - and funding - for the prosecution of [the Loudoun County school board]”       "
"74976",74976,"Loudoun dad calmly told the school board to resign tonight and “end the mockery you have brought on this great county” "
"209984",209984,"Virginia school board meeting explodes as members face backlash for suspension of Tanner Cross

"
"203476",203476,"These parents and tax payers are concerned for their children and have a right to get a platform to speak and fight this 

Loudoun County Va. sheriff’s office declared the school board meeting an unlawful assembly. Everyone told to get out 

"
