ID,text,label
1,"Matt Wolking () Tweeted:
Loudoun dad calmly told the school board to resign tonight and â€œend the mockery you have brought on this great countyâ€  ",1
2," translation:
Loudoun County school board member calls for superintendent to resign for allegedly 
""withholding information for political gain""
while fox news continues to push anti trans narrative",1
3,"ðŸ’¥ BOOM: Parents in Loudoun County, Virginia, have launched a petition campaign to recall school board members who are infecting schools with critical race theory! ampFW America SaveOurCountry ",1
4,Youngkin demands resignations from Loudoun County School Board in wake of bombshell email  via  FIRE THE INCOMPETENT LIBERAL POS,1
7,"Loudoun County student found guilty of raping

a fourteen-year-old in a girls bathroom. Students

of Loudoun County are staging a walk out for safe

schools and for victims of the sexual assault and the

fact that it was covered up. The School Board is being

asked to resign.",1
8,The Loudoun County school board intentionally covered up 2 rapes of young girls by a transgendered individual solely to push the insane idea that allowing boys to use girls restrooms poses no danger. resign evil LoudounCountySchoolBoard pathetic patheticcuckold ,1
9,"Day 2 of the liberal media's blackout of the Loudoun County School Board putting trans bathroom policy over the safety of female students, resulting in the rape of 2 girls. Fox News highlighted the understandably angry parents that were demanding resignations and consequences. ",1
10,"â€˜See You in Courtâ€™: Parents Announce Theyâ€™ve Got Enough Signatures to Have Judge Oust Loudoun Co. School Board Members 
 ",1
11,"Great Job Loudon County Parents!
Loudoun County Parents Show Up at School Board Meeting with More Than Enough Signatures to Remove Board Chair ",1
12,"""You Buried a Rape!"" â€“ Parents in Loudoun County Demand School Board Members Resign Over Coverup of Sexual Assault, Also Legal Action Against Loudoun County Likely ",1
13,"Recall Loudoun County School Board members!!!  NOCRT
",1
14,"Can we say INDOCTRINATION? The superintendent, equity commandos and ALL school board members (accept Beatty) need to be fired AND the NAACP needs to be banned, restraining order from our schools.

We're far from done exposing LCPS.  This is sick. ",1
15,"People in Loudoun need to fire that school board loon. Who in the hell he thinks he is. He works for the citizens of Loudoun, fire his ass. ",1
16,"   This school board is a disgrace.  They should have courage and resign instead of embarrassing themselves weekly.  They are inept , corrupt and devoid of leadership. Instead of being a partisan hack how about standing up for the kids of lcps",1
17,"'WJ Live': After Student Walk-Out, Loudoun County Parents Demand School Board Resignation via  ",1
18,"Please follow this website for info on the LCPS board recall:

 ",0
19,"Loudoun School Board Sues To Shut Down Grand Jury Investigating Rape Cover-up
****THE BOARD IS CRIMINAL AND SHOULD BE TRIED AND JAILED EN MASSE!! ",1
20,"ðŸ’¥ðŸ’¥Victory For Parents As Judge Sides With Loudoun Parents, Against  Soros funded Prosecutor On School Board Recall ",1
21,"FYI Loudoun Prosecutor Buta Biberaj jails victims parents, frees rapists &amp; killer wife-beaters, pockets Soros $$ Terry McAuliffe backs her *RESIGN!* if not, Stand w/ us &amp; Recall her!  Bye   ",1
22,Nets Turn Back on Loudoun Parents Meeting Major Step for School Board Recall | MRCTV ,0
23,"AMERICA LOVES PARENTS WHO LOVE THEIR CHILDREN  as Loudoun School Board meeting erupts into shouting as parent group files petition to oust board chair

",1
25,Glenn Youngkin calls for investigation into Loudoun County school board over sexual-assault case  via ,1
26,Oh hey! Is Buta Biberaj a witness or defendant? Iâ€™m sure all that Soros Cash can buy some great defense lawyers â€¦  LCPS Loudoun RECALL  ,1
27,"Parents in Loudoun County, Va., file recall petition against school board member ",0
28,Loudoun County School Board Member Resigns ,0
29,Every Loudoun School Board member that voted for these depraved policies while knowing sexual assaults had already occurred need to resign with Barts. ,1
30," I believe Loudoun County schools need to be investigated heavily it sounds like there has been a lot of abuse and a lot of things have been swept under the rug hidden from parents for a number of years and I believe the school board needs to resign,Principal and superintendent to",1
31,"THIS JUST IN: Fight for Schools filed petitions in Loudoun County Circuit Court Thursday in an effort to remove school board member Atoosa Reaser
",0
33,"Where it did not pass. 

That means the original legislation -- just to stagger the terms of the Loudoun School Board, not to force a special election this year -- will now go back to Youngkin, who can either sign it or veto it. ",0
34,"Things are getting interesting. â€œ amends bill, puts Loudoun County School Board members on the ballot in November,â€ instead of next year. By 
",0
35,"  Tuesday's openly combative LCPS mtg. re TannerCross = culmination of frustration that's been building. 
Parents are campaigning to recall SchoolBoard members in reaction to their conduct over the past year re dissenting POVs. ",1
36,"Victory For Parents As Judge Sides With Loudoun Parents, Against Prosecutor On School Board Recall ",1
37,"Loudoun School Board Sues To Shut Down Grand Jury Investigating Rape Cover-up
 ",1
38,Parent group files petition to remove Loudoun County School Board vice chair  ,0
39,Loudoun County School-Board Member Resigns amid Backlash over Transgender Bathroom Assault. This is why boys and girls donâ€™t share bathrooms ,1
40,Fire the entire Loudoun County school board and the superintendent ,1
41,"Loudoun County School Board Facing Recall Efforts, Parents Fed Up With C...  via ",1
42, Youngkin demands resignations from Loudoun County School Board in wake of bombshell email ,1
43,"Youngkin urges an â€œimmediate investigationâ€ of Loudoun County school board. 
",1
44,"A key member of the Loudoun County School Board is resigning. Sheâ€™s currently facing a recall petition by parents. And the school board is also facing a lawsuit over how it dealt with an alleged case of sexual assault at school.
",0
45,"Youngkin demands resignations from Loudoun County School Board in wake of bombshell email | Fox News

CriticalTheory GenderTheory CriticalRaceTheory 

Marxism WarOnAmericanism AmericanMarxism  ",1
46,"As the scandal with the Loudoun School Board unfolds, we need an answer from  &amp; everyone who supported allowing schools to NOT report crimes in school like sexual battery.

Further-how did you miss the vote, have time to consider, &amp; STILL come back to show support? ",1
48,To little to late.   I donâ€™t think your sorry is going  to help this traumatized young lady.      fireziegler recall the  LCPS board,1
50,Media blackout: Loudoun County parents demand school board resign over sexual assaultÂ cover-up ,1
51,"Judge H. Thomas Padrick Jr. presided over the case.Â Respondents included school board members Atoosa Reaser and Brenda Sheridan. In short: Thanks to the dismissal, Sheridan and Reaser get to stay on the school board and keep up the good work.  County

 ",0
52,"The Loudoun County School Board must be arrested Immediately!  Sheridan, Reaser, Corbo, Mahedavi, Serotkin, Blue, Hoyler, Beatty, Morse and Barts. Lock them up! Sheriff Michael Chapman must act NOW!   ",1
54, Diverting! You knew! You lied! RESIGN!!! ,1
55, The ENTIRE Loudoun County school board should resign.,1
56,"and now every school board member and the superintendent must resign as a result of this criminal cover up.

WTOP: Loudoun Co. judge rules teen sexually assaulted girl in school bathroom.


via ",1
58,"Loudoun school board member Beth Barts resigns her position
Loudoun school board member Beth Barts was facing a recall campaign led by the conservative parent group ""Fight for Schools""  
BethBarts Loudoun  Leesburg
",0
59,  many school boards have gone rogue  just look at Loudoun county Virginia. secret facebook groups with teachers and board members targeting parents who disagreed with the board on trans issues   straight up fascist playbook,1
60,"Trans en baÃ±o de mujeres.
Loudoun County dad of 4 young girls: â€œHow can I as a father trust you and you as a school board to keep my daughters safe at school? I canâ€™t, I ask you to resign!â€ ",1
61,"Loudoun School Board meeting erupts into shouting as parent group files petition to oust board chair  via 

Make sure you read all the way to the end of the article. Youâ€™ll see! ðŸ¤¦ðŸ½â€â™‚ï¸",1
62,"More than 60 concerned parents, students and residents spoke at the School Board meeting Tuesday evening, with many demanding the resignation of Loudoun County Superintendent Scott Ziegler in the wake of allegations that the school district covered up two alleged sexual assaults.",1
63,"Parents demanded at a school board meeting Tuesday that the county superintendent and school board resign over a sexual assault in a school bathroom.
",0
64,"""A mere eight days after that censure, that same school board member posted a call to action in a private Facebook group called 'The Anti-Racist Parents of Loudoun County.'""",1
