ID,text,label
1,"     WeinsteinDemocrat ^
Are you the Loudoun County judge or the rapist?  Antitheist School Board member?
BidenErasedWomen aficionado?
",1
3,"_ÙÕ´ BOOM: Parents in Loudoun County, Virginia, have launched a petition campaign to recall school board members who are infecting schools with critical race theory! ampFW America SaveOurCountry ",1
4,Youngkin demands resignations from Loudoun County School Board in wake of bombshell email  via  FIRE THE INCOMPETENT LIBERAL POS,1
6,"Day 2 of the liberal media's blackout of the Loudoun County School Board putting trans bathroom policy over the safety of female students, resulting in the rape of 2 girls. Fox News highlighted the understandably angry parents that were demanding resignations and consequences. ",1
7,"Teacher Tells Loudoun School Board 'I Quit' After School Bashes'White Christian,Able-Bodied Females'CBN News

What the hell is going on in our schools,our Kids need to learn Math,Reading &amp; writing,Biology, social skills without masks &amp; critical race theory ",1
9,"Recall Loudoun County School Board members!!!  NOCRT
",1
10,"Can we say INDOCTRINATION? The superintendent, equity commandos and ALL school board members (accept Beatty) need to be fired AND the NAACP needs to be banned, restraining order from our schools.

We're far from done exposing LCPS.  This is sick. ",1
11,"   This school board is a disgrace.  They should have courage and resign instead of embarrassing themselves weekly.  They are inept , corrupt and devoid of leadership. Instead of being a partisan hack how about standing up for the kids of lcps",1
12,Merriam-Webster defines 'alt-right' as groups whose members 'espouse extremist beliefs and policies typically centered on ideas of white nationalism.' ,0
16,"Anti-critical race theory org taking aim at Loudoun County School Board in half million dollar ad buy 

",0
17,"Anger Boils Up at Loudoun School Board Meeting Over 'CRT Cancer', 'Transgender Radicalism' - Parents Petition to Oust Chair | CBN News   LoudonCounty CRT ",1
18,CRITICAL RACE THEORY SEEMS TO BECOME A CRITICAL TRIGGER FOR EDUCATIONAL PROCESS: CRITICAL FOR CONCERNING PARENTS AND CRITICAL OF COMMON SENSE _Ù_©Loudoun residents ask judge to remove controversial school board member amid battle over critical race theory  ,1
19,"Debate around critical race theory pushed wealthy Loudoun County to the frontlines of the GOP‰Ûªs culture wars. Republicans are hoping to turn that discord into political capital.
",0
20,"LEFTIST RADICALS LIE TO FURTHER THEIR AGENDA- BASTARDS _Ù_Â_ÙÐ¥_ÙÐ¥_Ù_Â_Ù_Â

Deleted Comment From Loudoun Enemies List Group Adds To Evidence That School Board Member Misled Police
 ",1
