ID,text,label
1,"This instance demonstrates that the education board is trying to cover up obscene incidents within the district. They brought in brown shirts to tackle this man for his teen daughterâ€™s rape.

",1
2,"""WATCH â€” Loudoun County School Board Meeting Erupts After Sex Assault Bombshell: â€˜You Buried a Rapeâ€™ ""
The parents brought the hammer to the school board meeting this past Tuesday night.
Watch
",1
3,"  The Loudoun County school board in Virginia covered up the rape of two female students because the suspect identifies as â€œgender fluid.â€ The parents are rightly outraged, and you dismiss this outrage  as â€œphony.â€ What evil people you both are.",1
4,"This is a BIG deal!! 

Court Orders Loudoun County School Board to Reinstate Teacher Suspended for Christian Speech on LGBT  via ",0
5,          TransRightsAreHumanRights Loudoun school board meeting turned Trump Rally at the expense of trans students Support8040 Loudoun4All ,0
6," translation:
Loudoun County school board member calls for superintendent to resign for allegedly 
""withholding information for political gain""
while fox news continues to push anti trans narrative",0
7,The Loudoun County School Board approved new guidelines that expand access for transgender students in school facilities and groups ,0
8,"Woke school ignored rape
Daughter of Loudoun County father dragged out of school board meeting was raped in girls bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - STAFF DID NOTHING

students ados",1
9,"May 28: Scott Ziegler tells the school board that a male student assaulted a girl in the restroom

June 22: Scott Ziegler says the attacker ""simply does not exist""
",1
10,  The heated comments perhaps were due to the school board's denying that the alleged attack occurred; nor that it was reported; but now:  Loudoun School Board Was Informed Of Alleged Sexual Assault The Day It Happened: Report ,1
11,Loudoun County father who was dragged out of woke school board meeting  reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student  ,1
12,"   Another MAN who wants to deny rape culture is real - here is your fucking credible source - a local ABC News Outlet. Women will NO LONGER tolerate your ignorance or toxicity!
",1
13,"Loudoun County Superintendent wrote to the school board on the day it happened: â€œThis afternoon a female student alleged that a male student sexually assaulted her in the restroom. The LCSO is investigating the matter.â€

Credit:  ",0
14,"   Your premise is incorrect, the fact that College Educated women voted for McAuliffe is an indictment of liberal indoctrination in colleges.  

How can any rationale human accept the Loudoun school board rape coverup and total disrespect of parents whose tax $ pay their salary.",1
15,"Domestic Terrorism, Gender Identity and Sexual Assault: How Will VA School District Controversy Impact the Church?: When Scott Smith was arrested during a Loudoun County, Virginia, school board meeting in June, he was called an out-of-control parent, aâ€¦  ",0
16,Loudoun County sex assault victim's father celebrates surprise legal victory.   ,0
17, Loudoun County students protest over a serial rapist let loose in the school system by the school board ,0
18,Email confirms LoudounCountyschoolboard knew about alleged sexual assault on day it happened.  ,1
19,"Loudoun County student found guilty of raping

a fourteen-year-old in a girls bathroom. Students

of Loudoun County are staging a walk out for safe

schools and for victims of the sexual assault and the

fact that it was covered up. The School Board is being

asked to resign.",1
20,The Loudoun County school board intentionally covered up 2 rapes of young girls by a transgendered individual solely to push the insane idea that allowing boys to use girls restrooms poses no danger. resign evil LoudounCountySchoolBoard pathetic patheticcuckold ,1
21,"Day 2 of the liberal media's blackout of the Loudoun County School Board putting trans bathroom policy over the safety of female students, resulting in the rape of 2 girls. Fox News highlighted the understandably angry parents that were demanding resignations and consequences. ",1
22,"Virginia parents blast school board over graphic books, critical race theory: 'Pretty despicable' | Fox News ",1
23,"Funny how this school is repeatedly called â€œwokeâ€ when this gender bullshit is in schools in the UK and remains largely unchallenged. 

Parents need to be conscious of whatâ€™s really going on. 

ðŸš© 
 ",1
24,"Loudoun email reveals superintendent notified school board on day of alleged sexual assault



Explore the Fox News apps that are right for you at ",1
25,"Emails show Loudoun County School Board was always aware of alleged rape in bathroom

",1
26,"""You Buried a Rape!"" â€“ Parents in Loudoun County Demand School Board Members Resign Over Coverup of Sexual Assault, Also Legal Action Against Loudoun County Likely ",1
27," The girls hurt were not a threat, the monster who assaulted/raped them definitely is a threat   ",1
28," Itâ€™s 2021, and Dem-controlled school board in Loudoun county  passed policy 8040 allowing students to use bathrooms &amp; locker rooms of the opposite sex. 

Folks, ðŸ¤¡ McAuliffe wins, and rest of the Commonwealth will fall prey to the insanity that has consumed .",1
29,Two parents are arrested as woke LoudounCounty School Board meeting is cut short after a fight breaks out over new transgender rules. ,0
30,"Hundreds of protesters rallied in LoudounCounty to voice their objection over a recently adopted pro-transgender policy.

The event occurred outside the LCPS administration building on Sept. 28, an hour before the school board meeting. ",0
31,"Do you know what wasn't covered by ABC, CBS, and NBC tonight? The Loudoun County School Board allegedly covering up the rape of a 14-year-old girl to pass a transgender bathroom policy: ",1
32,"Democrat politicians and bureaucrats are aligned in there effort to destroy our rights liberties and culture ..

arrested at Loudoun County school board meeting says officials covered up his daughter's rape ",1
